date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:37:04	15108/15108	---M--	200	added ('OK')	image/jpeg	etag:%229fbd4b6cc5b48cdda8b43b30b120b0d6%22	https://image.tmdb.org/t/p/w300/n7sgwV1TNHUXOf7Aoh7Cr8gWvlZ.jpg	C:/Users/Henrique/Desktop/Homem%20Aranha/image.tmdb.org/t/p/w300/n7sgwV1TNHUXOf7Aoh7Cr8gWvlZ.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
20:37:04	523036/523036	---M--	200	added ('OK')	image/jpeg	etag:%22d76f697c41fd666945660422cf8d28a6%22	https://image.tmdb.org/t/p/original/rWiPrQ4XqbuLg4wP2ufM0dsBRCQ.jpg	C:/Users/Henrique/Desktop/Homem%20Aranha/image.tmdb.org/t/p/original/rWiPrQ4XqbuLg4wP2ufM0dsBRCQ.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
20:37:05	9612/9612	---M--	200	added ('OK')	image/jpeg	etag:%22d76f697c41fd666945660422cf8d28a6%22	https://image.tmdb.org/t/p/w300/rWiPrQ4XqbuLg4wP2ufM0dsBRCQ.jpg	C:/Users/Henrique/Desktop/Homem%20Aranha/image.tmdb.org/t/p/w300/rWiPrQ4XqbuLg4wP2ufM0dsBRCQ.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
20:37:05	392/392	---M--	200	added ('OK')	image/png	etag:%2260e74908-188%22	https://querofilmehd.net/wp-content/themes/dooplay/assets/img/no/cast.png	C:/Users/Henrique/Desktop/Homem%20Aranha/querofilmehd.net/wp-content/themes/dooplay/assets/img/no/cast.png	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
20:37:05	3253/3253	---M--	200	added ('OK')	image/jpeg	etag:%2256cf6dc92351119fdb6a273d6a71a7ad%22	https://image.tmdb.org/t/p/w92/2qhIDp44cAqP2clOgt2afQI07X8.jpg	C:/Users/Henrique/Desktop/Homem%20Aranha/image.tmdb.org/t/p/w92/2qhIDp44cAqP2clOgt2afQI07X8.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
20:37:06	3561/3561	---M--	200	added ('OK')	image/jpeg	etag:%2250a41ac9c314250e007626b1a5174fd1%22	https://image.tmdb.org/t/p/w92/jHWlWOasiqKS8JI40g9GDH5X6AL.jpg	C:/Users/Henrique/Desktop/Homem%20Aranha/image.tmdb.org/t/p/w92/jHWlWOasiqKS8JI40g9GDH5X6AL.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
20:37:06	3413/3413	---M--	200	added ('OK')	image/jpeg	etag:%22d6dfea36168f32d4edad6a528e662c8b%22	https://image.tmdb.org/t/p/w92/fBEucxECxGLKVHBznO0qHtCGiMO.jpg	C:/Users/Henrique/Desktop/Homem%20Aranha/image.tmdb.org/t/p/w92/fBEucxECxGLKVHBznO0qHtCGiMO.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
20:37:06	2730/2730	---M--	200	added ('OK')	image/jpeg	etag:%22ddb832a98dc95a55db97d17878a7913d%22	https://image.tmdb.org/t/p/w92/8MtRRnEHaBSw8Ztdl8saXiw1egP.jpg	C:/Users/Henrique/Desktop/Homem%20Aranha/image.tmdb.org/t/p/w92/8MtRRnEHaBSw8Ztdl8saXiw1egP.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
20:37:07	2275/2275	---M--	200	added ('OK')	image/jpeg	etag:%22f78bfd7b759e96a906bf461fb0b0b824%22	https://image.tmdb.org/t/p/w92/53YhaL4xw4Sb1ssoHkeSSBaO29c.jpg	C:/Users/Henrique/Desktop/Homem%20Aranha/image.tmdb.org/t/p/w92/53YhaL4xw4Sb1ssoHkeSSBaO29c.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
20:37:07	3279/3279	---M--	200	added ('OK')	image/jpeg	etag:%22fbdc4d1d84337539623b4dd0e2a3de90%22	https://image.tmdb.org/t/p/w92/pP0J79KUzPPjW4QO42iF4KKM7C6.jpg	C:/Users/Henrique/Desktop/Homem%20Aranha/image.tmdb.org/t/p/w92/pP0J79KUzPPjW4QO42iF4KKM7C6.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
20:37:07	2823/2823	---M--	200	added ('OK')	image/jpeg	etag:%225cbe85b05a991b8343c51c7eb47d573b%22	https://image.tmdb.org/t/p/w92/nJo91Czesn6z0d0pkfbDoVZY3sg.jpg	C:/Users/Henrique/Desktop/Homem%20Aranha/image.tmdb.org/t/p/w92/nJo91Czesn6z0d0pkfbDoVZY3sg.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
20:37:08	2892/2892	---M--	200	added ('OK')	image/jpeg	etag:%22d7fe08770c9f727f071cdf10abe8073b%22	https://image.tmdb.org/t/p/w92/kZYV0GjnZdoyL3cLvWbKhetNBrE.jpg	C:/Users/Henrique/Desktop/Homem%20Aranha/image.tmdb.org/t/p/w92/kZYV0GjnZdoyL3cLvWbKhetNBrE.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
20:37:08	3357/3357	---M--	200	added ('OK')	image/jpeg	etag:%22cf115ad8994ab8d4264877272409f5f5%22	https://image.tmdb.org/t/p/w92/ui8e4sgZAwMPi3hzEO53jyBJF9B.jpg	C:/Users/Henrique/Desktop/Homem%20Aranha/image.tmdb.org/t/p/w92/ui8e4sgZAwMPi3hzEO53jyBJF9B.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
20:37:08	3126/3126	---M--	200	added ('OK')	image/jpeg	etag:%22a47d7aff805fd64ca112c9cdae27831f%22	https://image.tmdb.org/t/p/w92/ouuo4ulVO9j6T8JixFp4lWTVdtd.jpg	C:/Users/Henrique/Desktop/Homem%20Aranha/image.tmdb.org/t/p/w92/ouuo4ulVO9j6T8JixFp4lWTVdtd.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
20:37:09	13665/13665	---M--	200	added ('OK')	image/jpeg	etag:%220477bb0335fc43d51268cba6f65e6e0a%22	https://image.tmdb.org/t/p/w185/q7aenz9ZERyL4EVZA4ieHnXQrjS.jpg	C:/Users/Henrique/Desktop/Homem%20Aranha/image.tmdb.org/t/p/w185/q7aenz9ZERyL4EVZA4ieHnXQrjS.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
20:37:09	12934/12934	---M--	200	added ('OK')	image/jpeg	etag:%22b57d1a29d17cfb525eba4172db9f4f51%22	https://image.tmdb.org/t/p/w185/vG8qBkByy9naORB6zahcntIC2N.jpg	C:/Users/Henrique/Desktop/Homem%20Aranha/image.tmdb.org/t/p/w185/vG8qBkByy9naORB6zahcntIC2N.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
20:37:09	11141/11141	---M--	200	added ('OK')	image/jpeg	etag:%2268b0fcec61a129b69605a32105a75f7e%22	https://image.tmdb.org/t/p/w185/dQWPwTDB6aikTmxYhp668sdRobd.jpg	C:/Users/Henrique/Desktop/Homem%20Aranha/image.tmdb.org/t/p/w185/dQWPwTDB6aikTmxYhp668sdRobd.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
20:37:10	15429/15429	---M--	200	added ('OK')	image/jpeg	etag:%225c3af28dc4b479cd03703b29f06880e5%22	https://image.tmdb.org/t/p/w185/2RKGUCbo2R6IDsufxApL6nRFL4j.jpg	C:/Users/Henrique/Desktop/Homem%20Aranha/image.tmdb.org/t/p/w185/2RKGUCbo2R6IDsufxApL6nRFL4j.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
20:37:10	35593/35593	---M--	200	added ('OK')	image/jpeg	etag:%22973c460b73c254b7080859c5277522a7%22	https://image.tmdb.org/t/p/w185/j2UPS5hPBFgRN1Zbs7RKvn0iipu.jpg	C:/Users/Henrique/Desktop/Homem%20Aranha/image.tmdb.org/t/p/w185/j2UPS5hPBFgRN1Zbs7RKvn0iipu.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
20:37:10	8834/8834	---M--	200	added ('OK')	image/jpeg	etag:%22d1aec169a2fdf6f54fef16e801e54e56%22	https://image.tmdb.org/t/p/w185/9EuGKjsYegO58RaMYWGvnurHo7u.jpg	C:/Users/Henrique/Desktop/Homem%20Aranha/image.tmdb.org/t/p/w185/9EuGKjsYegO58RaMYWGvnurHo7u.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
20:37:10	17952/17952	---M--	200	added ('OK')	image/jpeg	etag:%220f4cc0add33003b481174abb57a44930%22	https://image.tmdb.org/t/p/w185/3qdc6SohDYb1pe9ypv4NShWZMAN.jpg	C:/Users/Henrique/Desktop/Homem%20Aranha/image.tmdb.org/t/p/w185/3qdc6SohDYb1pe9ypv4NShWZMAN.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
